Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.2.0	activemq-5.3.0	161	8	activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java
activemq	activemq-5.2.0	activemq-5.3.0	4	3	activemq-core/src/main/java/org/apache/activemq/broker/region/policy/TimedSubscriptionRecoveryPolicy.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/FilteredDestination.java
activemq	activemq-5.2.0	activemq-5.3.0	539	27	activemq-core/src/main/java/org/apache/activemq/broker/util/LoggingBrokerPlugin.java
activemq	activemq-5.2.0	activemq-5.3.0	64	5	activemq-core/src/main/java/org/apache/activemq/broker/util/TimeStampingBrokerPlugin.java
activemq	activemq-5.2.0	activemq-5.3.0	65	0	activemq-core/src/main/java/org/apache/activemq/broker/util/TraceBrokerPathPlugin.java
activemq	activemq-5.2.0	activemq-5.3.0	23	24	activemq-core/src/main/java/org/apache/activemq/broker/view/ConnectionDotFileInterceptor.java
activemq	activemq-5.2.0	activemq-5.3.0	12	3	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQBlobMessage.java
activemq	activemq-5.2.0	activemq-5.3.0	0	8	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQMessage.java
activemq	activemq-5.2.0	activemq-5.3.0	3	2	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQObjectMessage.java
activemq	activemq-5.2.0	activemq-5.3.0	4	2	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQTextMessage.java
activemq	activemq-5.2.0	activemq-5.3.0	37	0	activemq-core/src/main/java/org/apache/activemq/command/BrokerInfo.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-core/src/main/java/org/apache/activemq/command/CommandTypes.java
activemq	activemq-5.2.0	activemq-5.3.0	11	2	activemq-core/src/main/java/org/apache/activemq/command/ConnectionInfo.java
activemq	activemq-5.2.0	activemq-5.3.0	36	0	activemq-core/src/main/java/org/apache/activemq/command/ConsumerInfo.java
activemq	activemq-5.2.0	activemq-5.3.0	1	4	activemq-core/src/main/java/org/apache/activemq/command/Message.java
activemq	activemq-5.2.0	activemq-5.3.0	4	1	activemq-core/src/main/java/org/apache/activemq/command/NetworkBridgeFilter.java
activemq	activemq-5.2.0	activemq-5.3.0	15	3	activemq-core/src/main/java/org/apache/activemq/command/RemoveInfo.java
activemq	activemq-5.2.0	activemq-5.3.0	2	2	activemq-core/src/main/java/org/apache/activemq/filter/DestinationFilter.java
activemq	activemq-5.2.0	activemq-5.3.0	4	1	activemq-core/src/main/java/org/apache/activemq/filter/PrefixDestinationFilter.java
activemq	activemq-5.2.0	activemq-5.3.0	4	1	activemq-core/src/main/java/org/apache/activemq/filter/WildcardDestinationFilter.java
activemq	activemq-5.2.0	activemq-5.3.0	24	8	activemq-core/src/main/java/org/apache/activemq/filter/XalanXPathEvaluator.java
activemq	activemq-5.2.0	activemq-5.3.0	2	14	activemq-core/src/main/java/org/apache/activemq/kaha/ContainerId.java
activemq	activemq-5.2.0	activemq-5.3.0	5	0	activemq-core/src/main/java/org/apache/activemq/kaha/MapContainer.java
activemq	activemq-5.2.0	activemq-5.3.0	16	28	activemq-core/src/main/java/org/apache/activemq/kaha/impl/KahaStore.java
activemq	activemq-5.2.0	activemq-5.3.0	7	5	activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java
activemq	activemq-5.2.0	activemq-5.3.0	4	0	activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/ControlFile.java
activemq	activemq-5.2.0	activemq-5.3.0	2	0	activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/ReadOnlyAsyncDataManager.java
activemq	activemq-5.2.0	activemq-5.3.0	10	2	activemq-core/src/main/java/org/apache/activemq/kaha/impl/container/MapContainerImpl.java
activemq	activemq-5.2.0	activemq-5.3.0	2	2	activemq-core/src/main/java/org/apache/activemq/kaha/impl/data/DataFile.java
activemq	activemq-5.2.0	activemq-5.3.0	2	1	activemq-core/src/main/java/org/apache/activemq/kaha/impl/data/DataManagerImpl.java
activemq	activemq-5.2.0	activemq-5.3.0	7	0	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/Index.java
activemq	activemq-5.2.0	activemq-5.3.0	7	3	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/VMIndex.java
activemq	activemq-5.2.0	activemq-5.3.0	10	0	activemq-core/src/main/java/org/apache/activemq/management/JMSEndpointStatsImpl.java
